Variable,Coefficient,CI_lower,CI_upper,p_value,Color
presence_of_wave_sin,-3.079217408145922,-6.065752008944116,-0.09268280734772771,0.04335359295070136,#e74c3c
oscillator1_release,-1.7447564974928498,-3.97678250547363,0.48726951048793055,0.1249208508547885,#bdc3c7
presence_of_wave_triangle,-1.275610162250403,-4.317762674168412,1.7665423496676056,0.4096429372766226,#bdc3c7
oscillator1_decay,0.42775648395090227,-1.801528461904763,2.6570414298065677,0.705789176006117,#bdc3c7
oscillator1_attack,1.0267003418038634,-1.2060268050737175,3.2594274886814443,0.36594753249070155,#bdc3c7
presence_of_wave_saw,1.5975560372819306,-1.3858826978935241,4.580994772457386,0.29258066859792176,#bdc3c7
nb_osc_fine_not_zero,4.31917932994983,1.1139737371026524,7.524384922797008,0.008470300455017107,#27ae60
osc1_coarse,4.5634746227512855,2.3634585728024216,6.763490672700149,5.967370685045144e-05,#27ae60
presence_of_wave_square,6.259117962353723,3.3217308388809306,9.196505085826516,3.791297470145166e-05,#27ae60
oscillator1_sustain,6.4080910005753005,4.204498530182225,8.611683470968376,2.988493441769637e-08,#27ae60
nb_osc_act,7.606145115317693,3.07553350178161,12.136756728853776,0.0010859828821192122,#27ae60
